metagenome	group	depth	presence
SRR13685142	Acetobacteraceae	433080986	MAG detected
SRR13685159	Trebouxiophyceae	567138182	MAG detected
SRR13685162	Acidobacteriaceae	579616520	MAG detected
SRR13685162	Beijerinckiaceae	579616520	MAG detected
SRR13685153	Acetobacteraceae	700670804	MAG detected
SRR14722072	Beijerinckiaceae	702881444	MAG detected
SRR13685165	Beijerinckiaceae	728229512	MAG detected
SRR14722075	Beijerinckiaceae	751529718	MAG detected
SRR13126796	Acetobacteraceae	787429291	MAG detected
SRR13126796	Acidobacteriaceae	787429291	MAG detected
SRR13126796	Beijerinckiaceae	787429291	MAG detected
SRR14721936	Acetobacteraceae	794350298	MAG detected
SRR13685164	Acidobacteriaceae	798545984	MAG detected
SRR13685164	Beijerinckiaceae	798545984	MAG detected
SRR14722010	Acidobacteriaceae	834885342	MAG detected
SRR14721993	Beijerinckiaceae	857871166	MAG detected
SRR14722000	Beijerinckiaceae	863435818	MAG detected
SRR14722314	Acetobacteraceae	897036338	MAG detected
SRR14722118	Acidobacteriaceae	904833072	MAG detected
SRR14722118	Beijerinckiaceae	904833072	MAG detected
SRR14722051	Acetobacteraceae	975559660	MAG detected
SRR14722051	Acidobacteriaceae	975559660	MAG detected
SRR14721939	Acidobacteriaceae	991726022	MAG detected
SRR14722008	Beijerinckiaceae	1001142684	MAG detected
SRR14721995	Acidobacteriaceae	1015010524	MAG detected
SRR14722002	Acidobacteriaceae	1027194714	MAG detected
SRR14721987	Acetobacteraceae	1078541660	MAG detected
SRR14722276	Acetobacteraceae	1080803036	MAG detected
SRR12240175	Sphingomonadaceae	1101309616	MAG detected
SRR14722021	Acidobacteriaceae	1107319844	MAG detected
SRR14722003	Acidobacteriaceae	1111555394	MAG detected
SRR14722003	Beijerinckiaceae	1111555394	MAG detected
SRR14722031	Acidobacteriaceae	1112283516	MAG detected
SRR14722022	Beijerinckiaceae	1123401344	MAG detected
SRR14721999	Acidobacteriaceae	1230744828	MAG detected
SRR14721986	Acidobacteriaceae	1259731694	MAG detected
SRR14721985	Acetobacteraceae	1273065296	MAG detected
SRR14721985	Acidobacteriaceae	1273065296	MAG detected
SRR14721985	Beijerinckiaceae	1273065296	MAG detected
SRR14721941	Acetobacteraceae	1286751030	MAG detected
SRR14721941	Acidobacteriaceae	1286751030	MAG detected
SRR14721980	Acetobacteraceae	1289181526	MAG detected
SRR14721980	Acidobacteriaceae	1289181526	MAG detected
SRR14722225	Acetobacteraceae	1290245472	MAG detected
SRR14722174	Acidobacteriaceae	1324337648	MAG detected
SRR14722174	Beijerinckiaceae	1324337648	MAG detected
SRR12240174	Acetobacteraceae	1329976068	MAG detected
SRR12240174	Sphingomonadaceae	1329976068	MAG detected
SRR14722129	Acetobacteraceae	1332706672	MAG detected
SRR14722129	Acidobacteriaceae	1332706672	MAG detected
SRR14722129	Beijerinckiaceae	1332706672	MAG detected
SRR14722066	Acidobacteriaceae	1350674766	MAG detected
SRR14722066	Beijerinckiaceae	1350674766	MAG detected
SRR14722066	Sphingomonadaceae	1350674766	MAG detected
SRR14721948	Acidobacteriaceae	1358620084	MAG detected
SRR14722162	Acetobacteraceae	1359847714	MAG detected
SRR14722162	Beijerinckiaceae	1359847714	MAG detected
SRR14722288	Acidobacteriaceae	1372978674	MAG detected
SRR14722026	Acetobacteraceae	1376535630	MAG detected
SRR14722026	Acidobacteriaceae	1376535630	MAG detected
SRR14722026	Beijerinckiaceae	1376535630	MAG detected
SRR14722151	Beijerinckiaceae	1407435666	MAG detected
SRR14722045	Beijerinckiaceae	1411963250	MAG detected
SRR14721962	Acetobacteraceae	1438330870	MAG detected
SRR14721962	Acidobacteriaceae	1438330870	MAG detected
SRR14721962	Trebouxiophyceae	1438330870	MAG detected
SRR14722330	Acidobacteriaceae	1445485854	MAG detected
SRR14722330	Trebouxiophyceae	1445485854	MAG detected
SRR14721955	Acetobacteraceae	1448166708	MAG detected
SRR14722290	Acetobacteraceae	1473725270	MAG detected
SRR14722290	Acidobacteriaceae	1473725270	MAG detected
SRR14722108	Beijerinckiaceae	1490065584	MAG detected
SRR14721944	Acetobacteraceae	1492914048	MAG detected
SRR14721944	Acidobacteriaceae	1492914048	MAG detected
SRR14721944	Beijerinckiaceae	1492914048	MAG detected
SRR12240184	Beijerinckiaceae	1500967204	MAG detected
SRR12240184	Sphingomonadaceae	1500967204	MAG detected
SRR14722294	Acetobacteraceae	1512306978	MAG detected
SRR14722275	Acetobacteraceae	1516342604	MAG detected
SRR14721996	Acetobacteraceae	1522805404	MAG detected
SRR14721996	Acidobacteriaceae	1522805404	MAG detected
SRR14721996	Beijerinckiaceae	1522805404	MAG detected
SRR14722013	Beijerinckiaceae	1537520354	MAG detected
SRR14722067	Acidobacteriaceae	1539836090	MAG detected
SRR14722067	Trebouxiophyceae	1539836090	MAG detected
SRR14722082	Acetobacteraceae	1555905208	MAG detected
SRR14722082	Acidobacteriaceae	1555905208	MAG detected
SRR14722059	Acetobacteraceae	1561101118	MAG detected
SRR14722059	Acidobacteriaceae	1561101118	MAG detected
SRR14722059	Beijerinckiaceae	1561101118	MAG detected
SRR14722007	Acetobacteraceae	1593583936	MAG detected
SRR14722007	Beijerinckiaceae	1593583936	MAG detected
SRR14721938	Beijerinckiaceae	1606387226	MAG detected
SRR14722101	Acetobacteraceae	1608475254	MAG detected
SRR14722101	Acidobacteriaceae	1608475254	MAG detected
SRR14722046	Acetobacteraceae	1608581256	MAG detected
SRR14722046	Acidobacteriaceae	1608581256	MAG detected
SRR14721964	Beijerinckiaceae	1611903860	MAG detected
SRR14722309	Acetobacteraceae	1625514094	MAG detected
SRR14722309	Acidobacteriaceae	1625514094	MAG detected
SRR14722309	Beijerinckiaceae	1625514094	MAG detected
SRR14721925	Beijerinckiaceae	1626183024	MAG detected
SRR14721925	Sphingomonadaceae	1626183024	MAG detected
SRR14721949	Acidobacteriaceae	1630314384	MAG detected
SRR14722064	Acetobacteraceae	1632232688	MAG detected
SRR14721952	Acidobacteriaceae	1650217694	MAG detected
SRR14721945	Acidobacteriaceae	1650596100	MAG detected
SRR14722279	Acetobacteraceae	1650799950	MAG detected
SRR14722279	Beijerinckiaceae	1650799950	MAG detected
SRR14721950	Acetobacteraceae	1680403802	MAG detected
SRR14722175	Acetobacteraceae	1680805160	MAG detected
SRR14722175	Beijerinckiaceae	1680805160	MAG detected
SRR14722104	Acidobacteriaceae	1689883280	MAG detected
SRR14722296	Acetobacteraceae	1697605722	MAG detected
SRR14722296	Acidobacteriaceae	1697605722	MAG detected
SRR14722296	Beijerinckiaceae	1697605722	MAG detected
SRR12240187	Acetobacteraceae	1713022087	MAG detected
SRR14722068	Acetobacteraceae	1718570864	MAG detected
SRR14722068	Acidobacteriaceae	1718570864	MAG detected
SRR14722068	Beijerinckiaceae	1718570864	MAG detected
SRR14722140	Acetobacteraceae	1728674878	MAG detected
SRR14722140	Beijerinckiaceae	1728674878	MAG detected
SRR14722320	Acetobacteraceae	1735397700	MAG detected
SRR14722320	Acidobacteriaceae	1735397700	MAG detected
SRR14721974	Beijerinckiaceae	1756628904	MAG detected
SRR14722081	Acidobacteriaceae	1759614476	MAG detected
SRR14722081	Beijerinckiaceae	1759614476	MAG detected
SRR14722081	Sphingomonadaceae	1759614476	MAG detected
SRR12240179	Acetobacteraceae	1772170559	MAG detected
SRR12240179	Sphingomonadaceae	1772170559	MAG detected
SRR14722291	Acetobacteraceae	1772277034	MAG detected
SRR14722291	Acidobacteriaceae	1772277034	MAG detected
SRR14722291	Beijerinckiaceae	1772277034	MAG detected
SRR14722303	Acidobacteriaceae	1778492798	MAG detected
SRR14722303	Beijerinckiaceae	1778492798	MAG detected
SRR14722050	Acetobacteraceae	1782468326	MAG detected
SRR14722050	Acidobacteriaceae	1782468326	MAG detected
SRR14721937	Beijerinckiaceae	1786893834	MAG detected
SRR14722329	Beijerinckiaceae	1792631532	MAG detected
SRR14722298	Acidobacteriaceae	1804158872	MAG detected
SRR14722298	Beijerinckiaceae	1804158872	MAG detected
SRR14722043	Acetobacteraceae	1807451880	MAG detected
SRR14722043	Acidobacteriaceae	1807451880	MAG detected
SRR14722043	Beijerinckiaceae	1807451880	MAG detected
SRR14722106	Acetobacteraceae	1825538056	MAG detected
SRR14722106	Acidobacteriaceae	1825538056	MAG detected
SRR14722106	Beijerinckiaceae	1825538056	MAG detected
SRR14722105	Acetobacteraceae	1827127180	MAG detected
SRR14722105	Acidobacteriaceae	1827127180	MAG detected
SRR14722103	Acetobacteraceae	1828089050	MAG detected
SRR14722103	Acidobacteriaceae	1828089050	MAG detected
SRR14722301	Acidobacteriaceae	1832608178	MAG detected
SRR14722301	Beijerinckiaceae	1832608178	MAG detected
SRR14722292	Acetobacteraceae	1835472346	MAG detected
SRR14722292	Acidobacteriaceae	1835472346	MAG detected
SRR14722292	Beijerinckiaceae	1835472346	MAG detected
SRR14722071	Acetobacteraceae	1841760892	MAG detected
SRR14722071	Acidobacteriaceae	1841760892	MAG detected
SRR14722071	Trebouxiophyceae	1841760892	MAG detected
SRR14722058	Acetobacteraceae	1850829952	MAG detected
SRR14722058	Acidobacteriaceae	1850829952	MAG detected
SRR14722136	Beijerinckiaceae	1878951588	MAG detected
SRR12240177	Beijerinckiaceae	1887998081	MAG detected
SRR12240177	Sphingomonadaceae	1887998081	MAG detected
SRR14722305	Acidobacteriaceae	1941179594	MAG detected
SRR14722281	Acetobacteraceae	1967710294	MAG detected
SRR14722281	Trebouxiophyceae	1967710294	MAG detected
SRR14722185	Beijerinckiaceae	1975321902	MAG detected
SRR14722293	Acetobacteraceae	1996136648	MAG detected
SRR14722293	Acidobacteriaceae	1996136648	MAG detected
SRR14721947	Acetobacteraceae	1998564728	MAG detected
SRR14721947	Acidobacteriaceae	1998564728	MAG detected
SRR14721954	Sphingomonadaceae	2031774158	MAG detected
SRR14722042	Acetobacteraceae	2039049338	MAG detected
SRR14722042	Acidobacteriaceae	2039049338	MAG detected
SRR14722042	Trebouxiophyceae	2039049338	MAG detected
SRR14722038	Beijerinckiaceae	2082604986	MAG detected
SRR14722041	Acetobacteraceae	2088996816	MAG detected
SRR14722041	Acidobacteriaceae	2088996816	MAG detected
SRR14722041	Beijerinckiaceae	2088996816	MAG detected
SRR14722084	Acidobacteriaceae	2103064882	MAG detected
SRR14722084	Beijerinckiaceae	2103064882	MAG detected
SRR14722152	Acetobacteraceae	2109363394	MAG detected
SRR14722152	Acidobacteriaceae	2109363394	MAG detected
SRR14722152	Trebouxiophyceae	2109363394	MAG detected
SRR14722277	Acidobacteriaceae	2116714376	MAG detected
SRR14721966	Acetobacteraceae	2128997320	MAG detected
SRR14721966	Acidobacteriaceae	2128997320	MAG detected
SRR14722184	Acetobacteraceae	2134534188	MAG detected
SRR14722184	Acidobacteriaceae	2134534188	MAG detected
SRR14722127	Beijerinckiaceae	2196437846	MAG detected
SRR14722057	Acetobacteraceae	2199167926	MAG detected
SRR14722057	Acidobacteriaceae	2199167926	MAG detected
SRR14722057	Beijerinckiaceae	2199167926	MAG detected
SRR14722272	Acidobacteriaceae	2220173838	MAG detected
SRR14722065	Acetobacteraceae	2222570510	MAG detected
SRR14722065	Acidobacteriaceae	2222570510	MAG detected
SRR14722094	Acetobacteraceae	2229400844	MAG detected
SRR14722094	Acidobacteriaceae	2229400844	MAG detected
SRR14722300	Acetobacteraceae	2235551678	MAG detected
SRR14722300	Acidobacteriaceae	2235551678	MAG detected
SRR14722078	Acetobacteraceae	2237419850	MAG detected
SRR14722078	Acidobacteriaceae	2237419850	MAG detected
SRR14722173	Acetobacteraceae	2278285886	MAG detected
SRR14722173	Acidobacteriaceae	2278285886	MAG detected
SRR14722173	Beijerinckiaceae	2278285886	MAG detected
SRR14722173	Sphingomonadaceae	2278285886	MAG detected
SRR14722080	Acidobacteriaceae	2282694482	MAG detected
SRR14722095	Acetobacteraceae	2377912666	MAG detected
SRR14722095	Acidobacteriaceae	2377912666	MAG detected
SRR14722039	Acetobacteraceae	2390043402	MAG detected
SRR14722039	Beijerinckiaceae	2390043402	MAG detected
SRR14722098	Acetobacteraceae	2400755946	MAG detected
SRR14722098	Acidobacteriaceae	2400755946	MAG detected
SRR14722098	Beijerinckiaceae	2400755946	MAG detected
SRR14722274	Acetobacteraceae	2402037634	MAG detected
SRR14722274	Sphingomonadaceae	2402037634	MAG detected
SRR14722083	Acetobacteraceae	2415466366	MAG detected
SRR14722083	Acidobacteriaceae	2415466366	MAG detected
SRR14721960	Beijerinckiaceae	2429449570	MAG detected
SRR14721960	Sphingomonadaceae	2429449570	MAG detected
SRR14722222	Sphingomonadaceae	2453653662	MAG detected
SRR14722213	Beijerinckiaceae	2461390902	MAG detected
SRR14722168	Acetobacteraceae	2464742196	MAG detected
SRR14722168	Acidobacteriaceae	2464742196	MAG detected
SRR14722168	Beijerinckiaceae	2464742196	MAG detected
SRR14722049	Acetobacteraceae	2508462434	MAG detected
SRR14722049	Acidobacteriaceae	2508462434	MAG detected
SRR14722049	Sphingomonadaceae	2508462434	MAG detected
SRR14722120	Trebouxiophyceae	2522191958	MAG detected
SRR14722135	Acetobacteraceae	2549242702	MAG detected
SRR14722135	Trebouxiophyceae	2549242702	MAG detected
SRR14722157	Acidobacteriaceae	2552295016	MAG detected
SRR14722157	Beijerinckiaceae	2552295016	MAG detected
SRR14722157	Trebouxiophyceae	2552295016	MAG detected
SRR14722172	Acetobacteraceae	2578131720	MAG detected
SRR14722172	Acidobacteriaceae	2578131720	MAG detected
SRR14722172	Trebouxiophyceae	2578131720	MAG detected
SRR12240183	Acetobacteraceae	2592537340	MAG detected
SRR12240183	Beijerinckiaceae	2592537340	MAG detected
SRR12240183	Sphingomonadaceae	2592537340	MAG detected
SRR14722251	Acidobacteriaceae	2592571548	MAG detected
SRR14722154	Acetobacteraceae	2645645632	MAG detected
SRR14722154	Acidobacteriaceae	2645645632	MAG detected
SRR14722154	Trebouxiophyceae	2645645632	MAG detected
SRR14722144	Acidobacteriaceae	2665979896	MAG detected
SRR14722144	Beijerinckiaceae	2665979896	MAG detected
SRR14722085	Acetobacteraceae	2676506106	MAG detected
SRR14722085	Acidobacteriaceae	2676506106	MAG detected
SRR14722085	Beijerinckiaceae	2676506106	MAG detected
SRR14722171	Acidobacteriaceae	2681839426	MAG detected
SRR14722171	Beijerinckiaceae	2681839426	MAG detected
SRR14722090	Acetobacteraceae	2705046012	MAG detected
SRR14722090	Acidobacteriaceae	2705046012	MAG detected
SRR14722090	Beijerinckiaceae	2705046012	MAG detected
SRR14722138	Beijerinckiaceae	2719689388	MAG detected
SRR14722156	Acetobacteraceae	2739296436	MAG detected
SRR14722156	Acidobacteriaceae	2739296436	MAG detected
SRR14722156	Beijerinckiaceae	2739296436	MAG detected
SRR14722124	Acetobacteraceae	2740461250	MAG detected
SRR14722124	Acidobacteriaceae	2740461250	MAG detected
SRR14722124	Beijerinckiaceae	2740461250	MAG detected
SRR14722299	Acetobacteraceae	2773612998	MAG detected
SRR14722299	Acidobacteriaceae	2773612998	MAG detected
SRR14722299	Beijerinckiaceae	2773612998	MAG detected
SRR14722177	Acetobacteraceae	2779935066	MAG detected
SRR14722177	Beijerinckiaceae	2779935066	MAG detected
SRR14722177	Trebouxiophyceae	2779935066	MAG detected
