	public_SRR14722229_metawrap_bin.6	public_SRR14722088_metawrap_bin.5	private_TS1974_metawrap_bin.5	public_SRR14722154_metawrap_bin.3	public_SRR14722157_metawrap_bin.1	private_T1916_metawrap_bin.2	private_VT16_metawrap_bin.4	public_SRR14722050_metawrap_bin.2	private_T1888_metawrap_bin.6	private_VT22_metawrap_bin.8	private_X16_metawrap_bin.17	private_X3_metawrap_bin.2	public_ERR4179390_metawrap_bin.2	public_SRR14722049_metawrap_bin.2	public_SRR14722081_metawrap_bin.1	public_SRR14722095_metawrap_bin.2	public_SRR2387885_metawrap_bin.6	private_X5_metawrap_bin.1	public_SRR11456921_metawrap_bin.3	public_SRR11456915_metawrap_bin.3	public_SRR14721954_metawrap_bin.4	public_SRR11456923_metawrap_bin.7	public_SRR14722145_metawrap_bin.2	public_SRR14722161_metawrap_bin.1	public_SRR11456913_metawrap_bin.11	public_SRR11456918_metawrap_bin.3	public_SRR11456919_metawrap_bin.5	public_SRR1531545_metawrap_bin.1	private_X15_metawrap_bin.2	private_VT1_metawrap_bin.3	private_VT1_metawrap_bin.1	public_SRR7232211_metawrap_bin.1	private_X11_metawrap_bin.3	private_T1894_metawrap_bin.4	public_SRR14721985_metawrap_bin.2	private_X9_metawrap_bin.1	private_T1887_metawrap_bin.15	private_T1889_metawrap_bin.2	private_TS1974_metawrap_bin.6	private_VT34_metawrap_bin.3	public_SRR11456914_metawrap_bin.12	public_SRR13125477_metawrap_bin.5	public_SRR14722071_metawrap_bin.1	private_T1904_metawrap_bin.1	private_X1_metawrap_bin.1	public_SRR14722123_metawrap_bin.1	private_T1894_metawrap_bin.9	private_T1916_metawrap_bin.6	private_VT26_metawrap_bin.1	private_T1916_metawrap_bin.13	private_TS1974_metawrap_bin.3	public_SRR11456919_metawrap_bin.13	public_SRR11456919_metawrap_bin.3	private_T1887_metawrap_bin.3	private_X3_metawrap_bin.3	private_VT34_metawrap_bin.4	public_ERR4179389_metawrap_bin.2	public_SRR11456918_metawrap_bin.7	public_SRR11456919_metawrap_bin.1	public_SRR14722117_metawrap_bin.2	private_VT1_metawrap_bin.2	public_SRR11456915_metawrap_bin.9	public_SRR11456919_metawrap_bin.2
M00580_1	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0.5	0.5	0	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0
M00005_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00008_1	0.75	0.75	0.5	0.75	0.5	0.5	0.5	0.5	0.5	0.5	0.75	0.5	0.5	0.5	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.5	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.5	1	0.5	0.5	0.75	0.75	0.75	0.75	0.5	0.5	0.75	0.5	0.5	0.75	1	1	0.75	0.75	0.5	0.75	0.75	1	0.75	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
M00308_1	0.75	0.75	0.25	0.75	0.25	0.25	0.25	0.25	0.25	0.25	0.75	0.25	0.25	0.25	0.75	0.75	0.75	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.75	0.25	0.25	0.75	0.25	0.75	0.75	0.25	0.25	0.5	0.25	0.25	0.5	0.5	0.5	0.75	0.75	0.25	0.5	0.75	0.75	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
M00014_1	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.142857142857143	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.142857142857143	0.285714285714286	0.285714285714286	0.285714285714286	0.142857142857143	0.285714285714286	0.285714285714286	0.142857142857143	0.142857142857143	0.142857142857143	0.285714285714286	0.285714285714286	0.428571428571429	0.428571428571429	0.428571428571429	0.285714285714286	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.285714285714286	0.285714285714286	0.142857142857143	0.428571428571429	0.428571428571429	0.285714285714286	0.142857142857143	0.285714285714286	0.142857142857143	0.428571428571429	0.142857142857143	0.428571428571429	0.285714285714286	0.428571428571429	0.428571428571429	0.285714285714286	0.142857142857143	0.142857142857143	0.142857142857143	0.142857142857143	0	0.428571428571429	0.285714285714286	0.428571428571429	0.428571428571429
M00631_1	0.8	0.6	0.2	0.6	0.2	0.2	0.4	0.2	0.2	0.2	0.6	0.2	0.2	0.2	0.6	0.6	0.6	0.4	0.4	0.4	0.4	0.4	0.4	0	0.2	0.4	0.2	0.2	0.4	0.2	0.2	0.4	0	0.8	0	0	0.4	0.2	0.4	0.4	0	0	0.2	0	0	0.2	0.2	0.2	0.4	0.4	0	0.6	0.4	0.8	0.2	0	0	0	0	0.2	0.2	0	0
M00061_1	0.8	0.8	0.2	0.8	0.2	0.2	0.2	0.2	0.2	0.2	0.8	0.2	0.2	0.2	0.8	0.8	0.6	0.6	0.6	0.8	0.4	0.6	0.8	0	0.2	0.6	0.2	0.2	0.4	0.2	0.2	0.4	0	0.6	0	0	0.8	0.2	0.8	0.4	0	0	0.2	0	0	0.2	0.2	0.6	0.4	0.8	0	1	0.8	0.8	0.2	0	0	0	0	0.4	0.4	0	0.2
M00081_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00632_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.75	1	1	0.5	0.5	1	0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	0.25	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.5	1	0.5	0.5	0.5	0.25	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.25	0.5	0.5	0.5	0.5	0.75	0.75	0.5	0.75
M00552_1	0.4	0.6	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.6	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	1	0.8	0.6	1	1	0.4	0.8	0.8	0.6	0.4	0.8	0.8	0.8	0.4	0.4	0.4	0.8	0.4	1	0.4	0.8	0.4	0.8	0.8	0.8	0.4	0.8	0.8	1	0.8	0.4	0.4	0.4	0.4
M00129_1	0.142857142857143	0.142857142857143	0.285714285714286	0.428571428571429	0.285714285714286	0.285714285714286	0.428571428571429	0.285714285714286	0.285714285714286	0.285714285714286	0.428571428571429	0.428571428571429	0.142857142857143	0.285714285714286	0.285714285714286	0.142857142857143	0.428571428571429	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.285714285714286	0.142857142857143	0.142857142857143	0.285714285714286	0.285714285714286	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.285714285714286	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.142857142857143	0.285714285714286	0.285714285714286	0.428571428571429	0.142857142857143	0.285714285714286	0.285714285714286	0.142857142857143	0.142857142857143
M00114_1	0.25	0.25	0.125	0.25	0.25	0.125	0.125	0.125	0.25	0.25	0.125	0.25	0.125	0.25	0.25	0.125	0.125	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125	0.125
M00550_1	0.2	0.4	0.2	0.2	0.2	0.4	0.4	0.4	0.2	0	0.2	0.2	0.4	0.2	0.4	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0.2	0.2	0.2	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0	0.2	0.2	0.2	0.2	0	0	0	0.2	0	0.2	0.2
M00854_1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	0.5	0.5	0.5	0.5	0.5	1	0	1	1	1	1	1	0.5	0.5	1	1	0.5	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1
