bac_genus2	n	bac_family	bac_order	bac_phylum
EB88	33	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
CAHJXG01	27	Acetobacteraceae	Acetobacterales	Proteobacteria
Sphingomonas	27	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Acetobacteraceae gen. sp.	25	Acetobacteraceae	Acetobacterales	Proteobacteria
Tous-C9LFEB	21	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
Terriglobus	18	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
Granulicella_C	17	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
CAHJWL01	16	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
CAHJWO01	16	UBA10450	Chthoniobacterales	Verrucomicrobiota
CAIMSN01	16	Acetobacteraceae	Acetobacterales	Proteobacteria
Lichenihabitans	16	Beijerinckiaceae	Rhizobiales	Proteobacteria
LMUY01	16	Acetobacteraceae	Acetobacterales	Proteobacteria
Capsulimonadaceae gen. sp.	15	Capsulimonadaceae	Armatimonadales	Armatimonadota
BOG-908	14	Acetobacteraceae	Acetobacterales	Proteobacteria
Bryobacteraceae gen. sp.	14	Bryobacteraceae	Bryobacterales	Acidobacteriota
Nostoc	14	Nostocaceae	Cyanobacteriales	Cyanobacteria
RH-AL1	13	Beijerinckiaceae	Rhizobiales	Proteobacteria
VCDI01	13	Acetobacteraceae	Acetobacterales	Proteobacteria
CAHJWH01	12	Caulobacteraceae	Caulobacterales	Proteobacteria
Hymenobacter	8	Hymenobacteraceae	Cytophagales	Bacteroidota
DTNP01	7	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota
HMF7410	7	Sphingobacteriaceae	Sphingobacteriales	Bacteroidota
Jatrophihabitans	7	Jatrophihabitantaceae	Mycobacteriales	Actinobacteriota
Amnibacterium	6	Microbacteriaceae	Actinomycetales	Actinobacteriota
CAHJWT01	6	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Caulobacteraceae gen. sp.	6	Caulobacteraceae	Caulobacterales	Proteobacteria
Enterovirga	6	Beijerinckiaceae	Rhizobiales	Proteobacteria
GCA-002050365	6	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota
Ktedonobacteraceae gen. sp.	6	Ktedonobacteraceae	Ktedonobacterales	Chloroflexota
Methylobacterium	6	Beijerinckiaceae	Rhizobiales	Proteobacteria
Rhizobacter	6	Burkholderiaceae	Burkholderiales	Proteobacteria
Spirosoma	6	Spirosomaceae	Cytophagales	Bacteroidota
Aestuariivirga	5	Aestuariivirgaceae	Rhizobiales	Proteobacteria
Bryocella	5	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
CAHJXF01	5	Burkholderiaceae	Burkholderiales	Proteobacteria
Sphingomonadaceae gen. sp.	5	Sphingomonadaceae	Sphingomonadales	Proteobacteria
Sphingomonas_G	5	Sphingomonadaceae	Sphingomonadales	Proteobacteria
UBA10450 gen. sp.	5	UBA10450	Chthoniobacterales	Verrucomicrobiota
Unknown gen. sp.	5	Unknown	Hat2	Chlamydiota
Unknown gen. sp.	5	Unknown	Actinomycetales	Actinobacteriota
Unknown gen. sp.	5	Unknown	Chthoniobacterales	Verrucomicrobiota
Friedmanniella	4	Propionibacteriaceae	Propionibacteriales	Actinobacteriota
Granulicella_B	4	Acidobacteriaceae	Acidobacteriales	Acidobacteriota
